id,x,y,z,status
203,5.604,6.62895,-3.7840502,Ansiedad
204,5.6850004,6.6120005,-3.7669501,Ansiedad
205,5.379,6.7870502,-4.0999503,Ansiedad
206,5.7520504,6.6070504,-3.8910003,Ansiedad
207,5.66895,6.6529503,-4.203,Ansiedad
208,5.6449504,6.636,-4.1929502,Ansiedad
209,5.72805,6.591,-4.09695,Ansiedad
210,5.793,6.73395,-3.9510002,Ansiedad
211,5.7240005,6.7510505,-3.86505,Ansiedad
212,5.60895,6.7770004,-3.96795,Ansiedad
213,5.8170004,6.7320004,-4.05705,Ansiedad
214,5.4240003,6.741,-4.2340503,Ansiedad
215,5.3910003,6.8110504,-4.296,Ansiedad
216,5.1730504,6.8089504,-4.2910504,Ansiedad
217,5.07,6.885,-4.26,Ansiedad
218,5.1130505,6.98295,-4.1599503,Ansiedad
219,5.15595,7.077,-4.0999503,Ansiedad
220,5.1390004,7.11495,-4.224,Ansiedad
221,5.1150002,7.1200504,-4.22205,Ansiedad
222,5.1660004,7.0620003,-3.8910003,Ansiedad
223,5.09595,7.0980005,-4.09005,Ansiedad
224,5.235,7.08195,-3.8220003,Ansiedad
225,5.11005,7.0410004,-3.8890502,Ansiedad
226,4.9879503,6.9910502,-4.3180504,Ansiedad
227,5.0070004,6.9949503,-4.0609503,Ansiedad
228,5.046,6.94005,-4.4760003,Ansiedad
229,5.1270003,6.94005,-4.2910504,Ansiedad
230,5.2710004,6.9910502,-3.9109502,Ansiedad
231,5.4910502,6.9949503,-3.69495,Ansiedad
232,5.6470504,6.9550505,-3.5730002,Ansiedad
233,5.5459504,6.813,-4.01595,Ansiedad
234,5.3260503,6.852,-4.464,Ansiedad
235,5.0290504,6.7969503,-4.31505,Ansiedad
236,5.06295,6.8539505,-4.761,Ansiedad
237,5.6280003,6.86595,-3.6330001,Ansiedad
238,5.163,6.8209505,-4.00605,Ansiedad
239,4.9960504,6.84705,-4.6650004,Ansiedad
240,5.295,6.9469504,-4.24305,Ansiedad
241,5.3980503,7.0260005,-4.5019503,Ansiedad
242,5.29005,6.98295,-4.1599503,Ansiedad
243,5.3760004,6.9880505,-4.596,Ansiedad
244,5.2450504,6.8830504,-3.9850502,Ansiedad
245,5.43405,6.7630506,-4.083,Ansiedad
246,5.37405,6.8040004,-3.9870002,Ansiedad
247,5.40495,6.7920003,-4.191,Ansiedad
248,5.41905,6.74595,-4.119,Ansiedad
249,5.4,6.8160005,-4.32495,Ansiedad
250,5.451,6.8089504,-4.32,Ansiedad
251,5.439,6.73395,-4.25295,Ansiedad
252,5.4889503,6.7819505,-4.2769504,Ansiedad
253,5.4150004,6.6979504,-4.2769504,Ansiedad
254,5.41905,6.7219505,-4.29405,Ansiedad
255,5.3479505,6.7849503,-4.38,Ansiedad
256,5.1540003,6.9040504,-4.29405,Ansiedad
257,5.2780504,6.8560505,-4.41795,Ansiedad
258,5.12505,6.8970003,-4.09005,Ansiedad
259,5.05305,6.8970003,-4.1449504,Ansiedad
260,5.3190002,6.8610005,-4.21005,Ansiedad
261,5.47695,6.8560505,-4.2769504,Ansiedad
262,5.47905,6.86595,-4.203,Ansiedad
263,5.355,6.8710504,-4.13595,Ansiedad
264,5.26095,6.8640003,-4.1839504,Ansiedad
265,5.2489505,6.8610005,-4.2510004,Ansiedad
266,5.1990004,6.8590503,-4.3230004,Ansiedad
267,5.2519503,6.8299503,-4.2670503,Ansiedad
268,5.1319504,6.8299503,-4.3369503,Ansiedad
269,5.4580503,6.8179502,-4.20795,Ansiedad
270,5.49795,6.78,-4.21995,Ansiedad
271,5.472,6.7560005,-4.2340503,Ansiedad
272,5.44605,6.7390504,-4.287,Ansiedad
273,5.355,6.7440004,-4.34205,Ansiedad
